000094eecf86bbd44c45be3a931e6f31;e502a919435c4717a930fa727ddc3781;green_areas;areeverdi.5678;FIRENZE;VIALE FRANCESCO TALENTI;VIALE FRANCESCO TALENTI;RT04801706138TO;43.77353846;11.21474398
00057ec50ef5c5f065e0c55dd00102cb;11270a9e60cc4b7b8cf6dee4fad81c9a;green_areas;areeverdi.551;FIRENZE;LUNGARNO ALDO MORO;LUNGARNO ALDO MORO;RT04801701873TO;43.76729689;11.29361134
00cccd671254f729b851a83f4f2dbbab;e38f320d9e7d4279a3406a563b091b4f;green_areas;areeverdi.627;FIRENZE;VIALE GIUSEPPE MAZZINI;VIALE GIUSEPPE MAZZINI;RT04801706242TO;43.77328002;11.27131064
012708431f612c8ea6b10353b9f250f2;fe852b55c1c44519abe0e39ab9c5803a;green_areas;areeverdi.3753;FIRENZE;PIAZZA DRESDA;PIAZZA DRESDA;RT04801701965TO;43.76299278;11.29085152
013cd9e329e24e802c90503640fc0a36;8228181338bb4272ae044c6c0c4ad207;green_areas;areeverdi.1115;FIRENZE;PIAZZA GIACOMO PUCCINI;PIAZZA GIACOMO PUCCINI;RT04801701974TO;43.78651663;11.22744948
016a5c85244dbf1e05086327e8484ee4;741fda74b22c4a458ffc9575a9f6af9a;green_areas;areeverdi.4090;FIRENZE;VIA DELL'ARGINGROSSO;;;43.78266171;11.20020851
018365947a58228bf883ed413145020f;992f3ab6d52941b5b4c265518445cc60;green_areas;areeverdi.151;FIRENZE;PIAZZA GIUSEPPE POGGI;PIAZZA GIUSEPPE POGGI;RT04801708145TO;43.76459641;11.26461718
01a26aac3f4e9b205e509d9b3a0d03f7;ce4ca528e2914868967e9fd1f237df27;green_areas;areeverdi.3770;FIRENZE;VIA DEL CAVALLACCIO;VIA DEL CAVALLACCIO;RT04801702482TO;43.77439417;11.19134714
01f9e2239314a1a6b6cfeacdee27fc1e;31e3a49607194cc6bfa225e4ba07e9f6;green_areas;areeverdi.1240;FIRENZE;VIA CARLO PISACANE;VIA CARLO PISACANE;RT04801702261TO;43.79312734;11.24366981
0294216024c0af4ddb7812e5e64d79e2;7378df33a9ac4f499bb5e23627c254e6;green_areas;areeverdi.4317;FIRENZE;VIA LUNGA;VIA SINALUNGA;RT04801703602TO;43.77580595;11.20297167
