rivendita2196|VIA PIAN DI GRASSINA|50012|BAGNO A RIPOLI|20|RT04800100038TO|43.7198355601|11.284901597|"Rivendita "" LA PIAZZETTA ""  DI GRAGNOLI S. - GRASSINA"|FI|2fc38038844f8b4bcaf3d71ddb01556c|Bus_tickets_retail|small_shop
rivendita2209|VIA DI TIZZANO|50012|BAGNO A RIPOLI|61|RT04800103112TO|43.7230691343|11.2969547893|Rivendita ALIM. LUANA BARBIERI & C.   S.N.C. -Grassina|FI|437b02dd2b92aed33578f757d6cc6bed|Bus_tickets_retail|small_shop
rivendita2232|VIA VITTORIO EMANUELE|50041|CALENZANO|45|RT04800506108TO|43.8487265359|11.1722809993|Rivendita TRAT.DA VITTORIO-ZACCHINI|FI|4b4630c6c6c6176c33539077bf69aaa3|Bus_tickets_retail|trattoria
rivendita2388|VIA DELLE BAGNESE|50124|FIRENZE|1|RT04801702707TO|43.7567282428|11.1987970701|"Rivendita TRATTORIA ""BIBE"""|FI|35a53d80c7bcbd6956652a17f05500a2|Bus_tickets_retail|trattoria
rivendita2422|VIA BOLOGNESE|50139|FIRENZE|96|RT04801702218TO|43.7913738669|11.2614646134|Rivendita STAZIONE SERVIZIO TOTAL|FI|fuel_station587|Bus_tickets_retail|fuel_station
rivendita2449|VIA ANTONIO CANOVA|50100|FIRENZE|100|RT04801702123TO|43.784947005|11.1892933346|Rivendita ST. SERV Q8 2 VELE - BONOMO|FI|fuel_station545|Bus_tickets_retail|fuel_station
rivendita2454|VIA DI CAREGGI|50139|FIRENZE|38|RT04801702794TO|43.8111705145|11.2565301302|Rivendita CASA DI CURA VILLANOVA|FI|f2e34b8539f20771d576187a00029039|Bus_tickets_retail|private_clinic
rivendita2492|VIA CESARE BATTISTI|50100|FIRENZE|10|RT04801702276TO|43.7772964447|11.2599148081|Rivendita MUTUO SOCCORSO DIP. ISTIT. GEOGR. MILIT.|FI|07d3b3e76d875b49be51dc1deb88b831|Bus_tickets_retail|library
rivendita2548|VIALE DON GIOVANNI MINZONI|50129|FIRENZE|25|RT04801703732TO|43.7851190866|11.2654290924|Rivendita ISTITUTO STENSEN|FI|d73a4e995354ce816e85ad0a085b57d2|Bus_tickets_retail|library
rivendita2563|VIA ELBANO GASPERI|50100|FIRENZE|16|RT04801702896TO|43.7836837988|11.2837046252|Rivendita RESIDENCE IL GIGLIO|FI|51cddde077b9edd09ebeadb9735e4e69|Bus_tickets_retail|vacation_resort
rivendita2572|VIALE EUROPA|50126|FIRENZE|203|RT04801706326TO|43.7570314354|11.2973102086|Rivendita STAZ. DI SERVIZIO ESSO|FI|fuel_station609|Bus_tickets_retail|fuel_station
rivendita2723|VIA PANZANI|50123|FIRENZE|50|RT04801702367TO|43.7742533908|11.2507920165|Rivendita BAR 50 ROSSO|FI|553fe4f1a33f9a811bdbba5536991004|Bus_tickets_retail|restaurant
rivendita2784|VIA PIER FORTUNATO CALVI|50100|FIRENZE|5|RT04801703439TO|43.7745057305|11.2834421096|Rivendita BAR PINAR|FI|be35619b867dd1880cbf12972beb7b11|Bus_tickets_retail|restaurant
rivendita2891|VIA PISTOIESE|50145|FIRENZE|154|RT04801703472TO|43.7950839295|11.198239819|Rivendita DA BURDE DI GORI G. & C.   S.N.C.|FI|3a2e112b949afc3d29aabd144e173cb7|Bus_tickets_retail|trattoria
rivendita2967|VIA DELLA MADONNA DELLA TOSSE|50100|FIRENZE|9|RT04801703307TO|43.7850317834|11.2634747168|Rivendita FIRENZE PARCHEGGI   ( PARCH. PARTERRE )|FI|1efe40c7bb487c2c4fcb94ac6dfb29f5|Bus_tickets_retail|car_park
rivendita3005|PIAZZA DEI GIUDICI|50100|FIRENZE|1|RT04801708062TO|43.7677614025|11.2563005948|Rivendita Istituto e Museo di Storia della Scienza|FI|9a8f59e83ae7f96045c7dc63a172479b|Bus_tickets_retail|museum
rivendita3049|VIA MARAGLIANO|50144|FIRENZE|14|RT04801703319TO|43.7843776349|11.2395651158|Rivendita MEGALLI MILON|FI|a44861bb48be6239a5fff3f4634d1afc|Bus_tickets_retail|restaurant
rivendita3163|VIA DEI SERRAGLI|50100|FIRENZE|35|RT04801702377TO|43.7663820856|11.2449682936|"Rivendita TRATTORIA ""DA GINONE"""|FI|2dd43f8dbf4fd785eced062a5cc5bb25|Bus_tickets_retail|trattoria
rivendita3168|VIA LOMBARDIA|50145|FIRENZE|15|RT04801703257TO|43.7912561624|11.1705328956|Rivendita UNICOOP LE PIAGGE|FI|89b4dc665dc23d9b5e920782402e6656|Bus_tickets_retail|shopping_centre
rivendita3224|PIAZZA DELL'UNITA' ITALIANA|50100|FIRENZE|1|RT04801701935TO|43.7751180983|11.2503150335|Rivendita CAFFE' LE ROSE     S.N.C.|FI|df5f3dd41da5994246a57b575db52f91|Bus_tickets_retail|restaurant
rivendita3231|VIA VENTISETTE APRILE|50100|FIRENZE|28|RT04801703699TO|43.7795019981|11.2549156498|Rivendita NABUCCO WINE BAR|FI|4e5d37a703a4a17d21faef4a8d35b841|Bus_tickets_retail|wine_shop_and_wine_bar
rivendita3250|VIA VITTORIO EMANUELE II|50100|FIRENZE|180|RT04801703690TO|43.795726002|11.2416422433|Rivendita PIZZERIA DALMAZIA   S.N.C.|FI|d9c272c72d45e6324fc43eb61cc849af|Bus_tickets_retail|pizzeria
rivendita3268|VIA CASSIA|50023|IMPRUNETA|36|RT04802206470TO|43.7106973088|11.2172695706|Rivendita TRATTORIA  LA BIANCHINA|FI|4a031d4162598911f46b00e0bff6ceb4|Bus_tickets_retail|trattoria
